Item Details,Amount,Quantity,Sale_Price,UPC_Code,Order_Type,Order_Date,Total_Savings,Original_Item_Total,Item_Coupons_Sales,Fulfillment_Fee,Sales_Tax,Order_Total,Item_Count,Payment_Amount
"Coca-Cola¨ Soda Cans, 12 pk / 12 fl oz",8.99,1,$8.99 each,4900002890,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"DIGIORNO Pepperoni Frozen Pizza on a Hand-Tossed Style Crust, 18.7 oz",7.49,1,$7.49 $8.99 each,7192163896,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Doritos¨ Nacho Cheese Flavored Tortilla Chips, 9.25 oz",3.99,1,$3.99 $5.49 each,2840051646,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Evol Chicken Bean & Rice Burrito, 6 oz",5.58,2,$2.79 $3.29 each,89162700250,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Honey Nut Cheerios Whole Grain Oat Gluten Free Cereal, 15.4 oz",5.99,1,$5.99 each,1600012506,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Kellogg's Raisin Bran Original Cold Breakfast Cereal, 16.6 oz",5.49,1,$5.49 each,3800019987,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Kroger¨ Sausage Egg & Cheese Croissant, 4 ct / 18 oz",6.79,1,$6.79 each,1111009679,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"LaCroix¨ Key Lime Sparkling Water, 8 cans / 12 fl oz",2.99,1,$2.99 $4.49 each,1299322108,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Pillsbury Cinnamon Rolls with Cream Cheese Icing, 8 ct / 12.4 oz",5,2,$2.50 $3.99 each,1800000512,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Pop-Tarts Frosted Strawberry Toaster Pastries, 20.3 oz",3.49,1,$3.49 $4.29 each,3800022273,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Simple Truth Organicª Grade A Amber Color Maple Syrup, 8 fl oz",6.49,1,$6.49 each,4126033206,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Totino's Pepperoni Flavored Pizza Rolls Frozen Snacks, 50 ct / 24.8 oz",5.49,1,$5.49 $6.29 each,4280010953,Pickup,4/10/23,16.03,93.33,-11.08,0,3.85,86.1,17,86.1
"Aussie Miracle Moist Shampoo and Conditioner Hair Set, 26.2 fl oz",14.99,1,$14.99 each,38151907778,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Ball Park White Hot Dog Buns, 8 ct / 13 oz",3.49,1,$3.49 $3.99 each,5040075116,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Ball Park¨ Bun Size Uncured Beef Franks, 8 ct / 15 oz",3.5,1,$3.50 $6.49 each,5450019329,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Banana, 1 ct",1,1.7 lbs,$0.58/lb (approx.),4011,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
Bev Excise,2.88,1,$2.88 each,8481,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Coca-Cola¨ Soda Cans, 12 pk / 12 fl oz",8.99,1,$8.99 each,4900002890,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Crest + Scope Mint Outlast Complete Whitening Toothpaste, 5.4 oz",2.99,1,$2.99 $3.99 each,3700090785,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"DIGIORNO Pepperoni Frozen Pizza on a Hand-Tossed Style Crust, 18.7 oz",7.99,1,$7.99 $8.99 each,7192163896,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"French's¨ Classic Yellow Mustard, 8 oz",1.99,1,$1.99 each,4150000700,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Healthy Choice¨ Simply Steamers Beef Chimichurri Frozen Meal, 9 oz",3.99,1,$3.99 $4.49 each,7265582000,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Kleenex Soothing Lotion Facial Tissues with Coconut Oil Aloe & Vitamin E Flat Box, 4 ct",6.49,1,$6.49 $7.99 each,3600054295,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"LaCroix¨ Key Lime Sparkling Water, 8 cans / 12 fl oz",4.49,1,$4.49 each,1299322108,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Ore-Ida Golden Tater Tots Seasoned Shredded Frozen Potatoes, 32 oz",5.99,1,$5.99 each,1312000082,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Oroweat Whole Grains 100% Whole Wheat Sandwich Bread, 24 oz",4.79,1,$4.79 $4.99 each,7313000132,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Pace Restaurant Style Medium Salsa, 16 oz",3.49,1,$3.49 $3.79 each,4156519388,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Pillsbury Cinnamon Rolls with Cream Cheese Icing, 8 ct / 12.4 oz",3.99,1,$3.99 each,1800000512,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Progressoª Traditional Ninety Nine % Fat Free Chicken Noodle Soup, 19 oz",5.25,3,$1.75 $2.99 each,4119691183,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Quilted Northern Ultra Plush Mega Roll Toilet Paper, 18 rolls",19.49,1,$19.49 $20.49 each,4200087468,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Ruffles¨ Potato Chips Original Party Size, 13 oz",4.99,1,$4.99 $6.79 each,2840051773,Pickup,3/20/23,19.46,125.29,-14.51,0,7.32,118.1,21,118.1
"Apple Cinnamon Cheerios Heart Healthy Cereal, 14.2 oz",2.49,1,$2.49 $5.99 each,1600016346,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Bush's Best¨ Country Style Baked Beans, 16 oz",7.17,3,$2.39 each,3940001972,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"CANarchy Pack of IPAs Craft Beer Variety Pack, 12 pk / 12 fl oz",19.99,1,$19.99 $21.99 each,86059200261,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Coca-Cola¨ Soda Cans, 12 pk / 12 fl oz",8.99,1,$8.99 each,4900002890,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Honey Nut Cheerios Whole Grain Oat Gluten Free Cereal, 15.4 oz",3.49,1,$3.49 $5.49 each,1600012506,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Kroger¨ Classic Garden Salad Bag, 12 oz",2.29,1,$2.29 each,1111091036,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Kroger¨ Colby Jack Cheese Slices, 8 ct / 6 oz",1.99,1,$1.99 $2.49 each,1111058287,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"LaCroix¨ Key Lime Sparkling Water, 8 cans / 12 fl oz",4.49,1,$4.49 each,1299322108,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Marie Callender's Chicken Pot Pie Frozen Meal, 15 oz",3.5,1,$3.50 $3.79 each,2113150691,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Marie Callender's Creamy Vermont Mac & Cheese Bowl Frozen Meal, 13 oz",3.29,1,$3.29 each,2113190554,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Pillsbury Cinnamon Rolls with Cream Cheese Icing, 8 ct / 12.4 oz",3.99,1,$3.99 each,1800000512,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Ritz Original Crackers, 13.7 oz",3.79,1,$3.79 $4.29 each,4400003111,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Simple Truth Organicª Cranberry Apple Kombucha, 15.2 fl oz",5.98,2,$2.99 each,1111012372,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Simple Truth Organicª Strawberry Lemonade Kombucha, 15.2 fl oz",5.98,2,$2.99 each,1111012371,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Simply Orange Pulp Free with Calcium & Vitamin D Orange Juice, 52 fl oz",4.39,1,$4.39 each,2500004496,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Velveeta Shells & Cheese Original Shell Pasta & Cheese Sauce Meal, 12 oz",2.99,1,$2.99 $3.79 each,2100065893,Pickup,3/9/23,14.54,94.4,-9.59,0,5.69,90.5,20,90.5
"Almond Breeze Unsweetened Vanilla Almond Milk, 1/2 gal",3.49,1,$3.49 each,4157005618,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Chobani¨ Low-Fat Pineapple on the Bottom Greek Yogurt, 5.3 oz",4.5,3,$1.50 each,89470001010,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Chobani¨ Non-Fat Strawberry on the Bottom Greek Yogurt, 5.3 oz",4.5,3,$1.50 each,89470001004,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Coca-Cola¨ Soda Mini Cans, 6 pk / 7.5 fl oz",3.49,1,$3.49 $4.99 each,4900006101,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Doritos Nacho Cheese Flavored Tortilla Chips, 9.25 oz",4,1,$4.00 $4.99 each,2840051646,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Hormel¨ Natural Choice¨ Oven Roasted Deli Turkey Lunch Meat, 8 oz",10.98,2,$5.49 each,3760013260,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Kellogg's Raisin Bran Original Breakfast Cereal, 16.6 oz",5.49,1,$5.49 each,3800019987,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Kroger¨ 100% White Corn Restaurant Style Tortilla Chips, 10 oz",1.99,1,$1.99 each,1111009597,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Kroger¨ Medium Cheddar Cheese Slices, 8 ct / 6 oz",4.98,2,$2.49 each,1111058718,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Kroger¨ Original Baked Oyster Crackers, 12 oz",3.79,1,$3.79 each,1111001979,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Kroger¨ Sausage Egg & Cheese Croissant, 4 ct / 18 oz",6.79,1,$6.79 each,1111009679,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"LaCroix¨ Key Lime Sparkling Water, 8 cans / 12 fl oz",4.49,1,$4.49 each,1299322108,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Organic Banana, 1 ct",1.64,2.19 lbs,$0.74/lb (approx.),94011,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Romaine Lettuce Hearts, 18 oz",3.99,1,$3.99 each,1111091629,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Ruffles¨ Potato Chips Original Party Size, 13 oz",5.99,1,$5.99 each,2840051773,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Simple Truth Organicª Grade A Amber Color Maple Syrup, 8 fl oz",4.99,1,$4.99 $6.49 each,4126033206,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Simple Truth Organicª Strawberry Lemonade Kombucha, 15.2 fl oz",2.5,1,$2.50 $2.99 each,1111012371,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Simple Truthª Natural Cage Free Large Brown Eggs, 12 ct",5.99,1,$5.99 each,1111079769,Pickup,2/28/23,24.43,88.07,-4.48,0,3.08,71.67,24,71.67
"Almond Breeze Unsweetened Vanilla Almond Milk, 1/2 gal",3.49,1,$3.49 each,4157005618,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Cello Shaved Parmesan Cheese, 10 oz",7.99,1,$7.99 each,8823142191,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"DIGIORNO¨ Pepperoni Rising Crust Frozen Pizza, 27.5 oz",4.99,1,$4.99 $7.99 each,7192196239,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Doritos Nacho Cheese Flavored Tortilla Chips, 9.25 oz",4,1,$4.00 $4.99 each,2840051646,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Hellmann's Real Mayonnaise, 30 oz",3.99,1,$3.99 $6.29 each,4800121348,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Hormel¨ Natural Choice¨ Oven Roasted Deli Turkey Lunch Meat, 8 oz",5.49,1,$5.49 each,3760013260,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Impossibleª Plant-Based Frozen Chicken Nuggets, 13.5 oz",7.99,1,$7.99 $8.99 each,81669702114,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Jimmy Dean¨ Regular Premium Pork Sausage Roll, 16 oz",5.49,1,$5.49 each,7790011553,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Kroger¨ Chinese Inspirations Chicken Fried Rice, 22 oz",4.99,1,$4.99 $8.49 each,1111004161,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Kroger¨ Fiber Capsules, 160 ct",5.99,1,$5.99 each,4126001008,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Kroger¨ White Hoagie Rolls, 6 ct",2.99,1,$2.99 each,1111011514,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Marie Callender's Chicken Pot Pie Frozen Meal, 15 oz",11.37,3,$3.79 each (approx.),2113150691,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Marie Callender's Creamy Vermont Mac & Cheese Bowl Frozen Meal, 13 oz",3.29,1,$3.29 each,2113190554,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Marie Callender's Garden Tomato Four Cheese Ravioli Bowl Frozen Meal, 11 oz",3.29,1,$3.29 each,2113100053,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Marie Callender's¨ Country Fried Chicken & Gravy Frozen Meal, 13.1 oz",3.99,1,$3.99 each,2113190533,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Oroweat Whole Grains 100% Whole Wheat Sandwich Bread, 24 oz",4.99,2,$2.49 $4.99 each (approx.),7313000132,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Pace Restaurant Style Medium Salsa, 16 oz",2.99,1,$2.99 $3.79 each,4156519388,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Private Selectionª Petite Medley Gourmet Potatoes, 1.5 lb",2.99,1,$2.99 $3.49 each,1111079545,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Ruffles¨ Potato Chips Original Party Size, 13 oz",4.99,1,$4.99 $5.99 each,2840051773,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Screamin' Sicilian Holy Pepperoni Frozen Pizza, 22.3 oz",4.99,1,$4.99 $10.49 each,7570615101,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Simple Truth Organicª Cranberry Apple Kombucha, 15.2 fl oz",8.97,3,$2.99 each,1111003882,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Simple Truthª Natural Cage Free Large Brown Eggs, 12 ct",5.99,1,$5.99 each,1111079769,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Simply Potatoes¨ Shredded Hash Browns, 20 oz",3.49,1,$3.49 each,2016922233,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Stouffer's¨ Romano Crusted Chicken Frozen Dinner Frozen Meal, 10.25 oz",3.99,1,$3.99 each,1380016833,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Totino's Pepperoni Flavored Pizza Rolls Frozen Snacks, 50 ct / 24.8 oz",5.49,1,$5.49 $5.99 each,4280010953,Pickup,2/11/23,29.03,152.3,-24.08,0,5.79,134.01,30,134.01
"Arm & Hammerª Free & Clear Sensitive Skin Liquid Laundry Detergent, 189 fl oz",11.99,1,$11.99 $13.99 each,3320010018,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Cheerios Whole Grain Oat Gluten Free Honey Nut Cereal, 27.2 oz",4.99,1,$4.99 $6.49 each,1600012495,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Chobani¨ Low-Fat Pineapple on the Bottom Greek Yogurt, 5.3 oz",2,2,$1.00 $1.50 each,89470001010,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Chobani¨ Non-Fat Strawberry on the Bottom Greek Yogurt, 5.3 oz",2,2,$1.00 $1.50 each,89470001004,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Hormel¨ Natural Choice¨ Oven Roasted Deli Turkey Lunch Meat, 8 oz",5.49,1,$5.49 each,3760013260,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Kroger¨ Chinese Inspirations Vegetable Fried Rice, 22 oz",4.99,1,$4.99 $5.99 each,1111004162,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Kroger¨ Classic Garden Salad Bag, 12 oz",2.29,1,$2.29 each,1111091036,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Kroger¨ Sausage Egg & Cheese Croissant, 4 ct / 18 oz",6.49,1,$6.49 each,1111009679,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Kroger¨ Shredded Iceberg Lettuce Bag, 8 oz",2.49,1,$2.49 each,1111091613,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Kroger¨ Ultra Select-A-Sheet Double Roll Paper Towels, 6 rolls",5.99,1,$5.99 $9.99 each,1111010514,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"La Preferida¨ Spanish Rice, 5.25 oz",1.99,1,$1.99 each,7152410412,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"LaCroix¨ Key Lime Sparkling Water, 8 cans / 12 fl oz",4.49,1,$4.49 each,1299322108,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Marie Callender's Chicken Pot Pie Frozen Meal, 15 oz",3.79,1,$3.79 each,2113150691,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Minute Maid Premium Peach Fruit Juice Drink, 59 fl oz",1.99,1,$1.99 each,2500004948,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Ortega Hot Thick & Smooth Original Taco Sauce, 8 oz",2.99,1,$2.99 $3.79 each,3900000891,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Progressoª Rich & Hearty Loaded Potato with Bacon Soup, 18.5 oz",4.98,2,$2.49 each,4119641076,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Progressoª Traditional Ninety Nine % Fat Free Chicken Noodle Soup, 19 oz",4.98,2,$2.49 each,4119691183,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Romaine Lettuce Hearts, 18 oz",3.99,1,$3.99 each,1111091629,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Simple Truth Organicª Cranberry Apple Kombucha, 15.2 fl oz",5.98,2,$2.99 each,1111003882,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"SunFed Ranch 100% Grass Fed 80% Lean Organic Ground Beef Brick, 1 lb",5.99,1,$5.99 each,85955700429,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
"Zatarain's¨ Dirty Rice, 8 oz",1.99,1,$1.99 $2.19 each,7142909535,Pickup,2/4/23,16.45,103.38,-11.5,0,4.38,96.26,26,96.26
Brhd Fs Sknls Ovngld Trky,7.5,0.5 lbs,$15.00 each,28555900000,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Cafe Bustelo Espresso Instant Coffee Packets, 6 ct",1.29,1,$1.29 each,7447111252,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Chobani¨ Low-Fat Pineapple on the Bottom Greek Yogurt, 5.3 oz",1.5,1,$1.50 $1.59 each,89470001010,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Chobani¨ Non-Fat Strawberry on the Bottom Greek Yogurt, 5.3 oz",1.5,1,$1.50 $1.59 each,89470001004,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"King's Hawaiian Sliced Honey Wheat Bread, 13.5 oz",4.99,1,$4.99 each,7343500029,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Kroger¨ Chicken Caesar Salad Kit, 12.15 oz",6.99,1,$6.99 each,1111022319,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Kroger¨ Grade AA Large White Eggs, 6 ct",4.29,1,$4.29 each,1111085424,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Kroger¨ Pretzel Rods, 12 oz",2.19,1,$2.19 each,1111009796,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Kroger¨ Strawberry Preserves, 18 oz",2.49,1,$2.49 $3.19 each,1111067617,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Land O' Lakes¨ Spreadable Butter with Canola Oil Tub, 8 oz",3.19,1,$3.19 each,3450015129,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Peter Panª Creamy Peanut Butter, 16.3 oz",2.59,1,$2.59 $3.19 each,4530000549,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Private Selectionª Colby Jack Sliced Cheese, 8 oz",5.49,1,$5.49 $6.49 each,1111060729,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Progressoª Rich & Hearty Loaded Potato with Bacon Soup, 18.5 oz",2.59,1,$2.59 each,4119641076,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Progressoª Traditional Ninety Nine % Fat Free Chicken Noodle Soup, 19 oz",1.59,1,$1.59 each,4119691183,In Store,1/29/23,2.48,50.67,-2.48,0,1.98,50.17,14,50.17
"Almond Breeze Unsweetened Vanilla Almond Milk, 1/2 gal",2.5,1,$2.50 each,4157005618,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Beyond Meat Beyond Chicken Plant-Based Breaded Tenders, 8 oz",1.99,1,$1.99 $4.99 each,81005729029,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"DEL MONTE No Sugar Added Sliced Bartlett Pears Canned Fruit, 14.5 oz",4.98,2,$2.49 each,2400013209,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Hillshire Farm¨ Smoked Sausage, 14 oz",4.79,1,$4.79 each,4450034171,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Hormel¨ Chili with Beans, 15 oz",2.29,1,$2.29 each,3760022318,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Hunt's¨ Tomato Sauce, 15 oz",1.33,1,$1.33 each,2700039014,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger Shredded Romaine, 8 oz",3.69,1,$3.69 each,1111022148,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ 100% White Corn Restaurant Style Tortilla Chips, 10 oz",1.99,1,$1.99 each,1111009597,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Deli Thin Sliced Traditional Roast Beef, 7 oz",3.69,1,$3.69 each,1111097809,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Elbow Macaroni, 16 oz",1.33,1,$1.33 each,1111085021,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Fully Cooked Homestyle Meatballs, 1 lb 10 oz",5.99,1,$5.99 each,1111009965,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Homestyle Seasoned Herb Croutons, 5 oz",1.25,1,$1.25 each,1111081364,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Medium Cheddar Cheese Slices, 8 ct / 6 oz",2.49,1,$2.49 each,1111058718,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Original Sour Cream, 8 oz",1.25,1,$1.25 each,1111046235,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Sausage Egg & Cheese Croissant, 4 ct / 18 oz",6.49,1,$6.49 each,1111009679,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Shredded Iceberg Lettuce Bag, 8 oz",2.49,1,$2.49 each,1111091613,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Kroger¨ Shredded Sharp Cheddar Cheese, 8 oz",2.49,1,$2.49 each,1111050158,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"LaCroix¨ Key Lime Sparkling Water, 8 cans / 12 fl oz",4.49,1,$4.49 each,1299322108,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Large Green Bell Pepper, 1 ct",0.89,1,$0.89 each,4065,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Marie Callender's Chicken Pot Pie Frozen Meal, 15 oz",3.79,1,$3.79 each,2113150691,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"McCormick¨ Original Chili Seasoning Mix, 1.25 oz",1.69,1,$1.69 $1.89 each,5210009150,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"New York Bakery Real Garlic Texas Toast, 8 ct / 11.25 oz",2.99,1,$2.99 $3.19 each,7045900558,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
